"x","y","a","r","time_step","agent"
-0.25,-0.25,64.8768721946,0.3,1,"A_1"
-0.0377175366124719,0.202698747223938,64.8768721946,0.3,2,"A_1"
0.174564926775056,0.655397494447876,64.8768721946,0.3,3,"A_1"
0.386847390162584,1.10809624167181,64.8768721946,0.3,4,"A_1"
0.599129853550112,1.56079498889575,64.8768721946,0.3,5,"A_1"
0.81141231693764,2.01349373611969,64.8768721946,0.3,6,"A_1"
1.02369478032517,2.46619248334363,64.8768721946,0.3,7,"A_1"
1.2359772437127,2.91889123056756,64.8768721946,0.3,8,"A_1"
1.5236449719728,3.32785000369472,54.8768721946,0.3,9,"A_1"
1.73592743536033,3.78054875091866,64.8768721946,0.3,10,"A_1"
1.94820989874786,4.2332474981426,64.8768721946,0.3,11,"A_1"
-0.25,-0.25,64.8768721946,0.3,11,"a_1"
2.16049236213539,4.68594624536653,64.8768721946,0.3,12,"A_1"
0.0376677282601073,0.158958773127157,54.8768721946,0.3,12,"a_1"
2.37277482552292,5.13864499259047,64.8768721946,0.3,13,"A_1"
0.325335456520214,0.567917546254313,54.8768721946,0.3,13,"a_1"
2.58505728891044,5.59134373981441,64.8768721946,0.3,14,"A_1"
0.613003184780321,0.97687631938147,54.8768721946,0.3,14,"a_1"
2.79733975229797,6.04404248703835,64.8768721946,0.3,15,"A_1"
0.900670913040429,1.38583509250863,54.8768721946,0.3,15,"a_1"
3.0096222156855,6.49674123426229,64.8768721946,0.3,16,"A_1"
1.18833864130054,1.79479386563578,54.8768721946,0.3,16,"a_1"
3.22190467907303,6.94943998148622,64.8768721946,0.3,17,"A_1"
1.47600636956064,2.20375263876294,54.8768721946,0.3,17,"a_1"
3.43418714246056,7.40213872871016,64.8768721946,0.3,18,"A_1"
1.76367409782075,2.6127114118901,54.8768721946,0.3,18,"a_1"
3.64646960584808,7.8548374759341,64.8768721946,0.3,19,"A_1"
1.97595656120828,3.06541015911403,64.8768721946,0.3,19,"a_1"
3.85875206923561,8.30753622315804,64.8768721946,0.3,20,"A_1"
2.18823902459581,3.51810890633797,64.8768721946,0.3,20,"a_1"
4.34199196617267,8.43590756734458,14.8768721946,0.3,21,"A_1"
2.31868612788083,4.00079260530091,74.8768721946,0.3,21,"a_1"
-0.25,-0.25,64.8768721946,0.3,21,"B_1"
4.84018181322376,8.47841493488501,4.8768721946,0.3,22,"A_1"
2.44913323116586,4.48347630426385,74.8768721946,0.3,22,"a_1"
-0.0377175366124719,0.202698747223938,64.8768721946,0.3,22,"B_1"
5.33837166027484,8.52092230242544,4.8768721946,0.3,23,"A_1"
2.57958033445089,4.96616000322679,74.8768721946,0.3,23,"a_1"
0.174564926775056,0.655397494447876,64.8768721946,0.3,23,"B_1"
5.83656150732592,8.56342966996587,4.8768721946,0.3,24,"A_1"
2.71002743773592,5.44884370218973,74.8768721946,0.3,24,"a_1"
0.386847390162584,1.10809624167181,64.8768721946,0.3,24,"B_1"
6.33475135437701,8.60593703750629,4.8768721946,0.3,25,"A_1"
2.92230990112345,5.90154244941367,64.8768721946,0.3,25,"a_1"
0.599129853550112,1.56079498889575,64.8768721946,0.3,25,"B_1"
6.83294120142809,8.64844440504672,4.8768721946,0.3,26,"A_1"
3.13459236451098,6.3542411966376,64.8768721946,0.3,26,"a_1"
